config,archetype,cohort,setting,n,power
base,AoN POD,onlypos,low,50,4e-4
base,AoN POD,onlypos,low,75,0.002
base,AoN POD,onlypos,low,100,0.009
base,AoN POD,onlypos,low,125,0.012
base,AoN POD,onlypos,low,150,0.0206
base,AoN POD,onlypos,low,175,0.0348
base,AoN POD,onlypos,low,200,0.0434
base,AoN POD,onlypos,low,250,0.0746
base,AoN POD,onlypos,low,325,0.0998
base,AoN POD,onlypos,low,400,0.1304
base,AoN POD,onlypos,low,500,0.1754
base,AoN POD,onlypos,low,750,0.2962
base,AoN POD,onlypos,low,1000,0.3958
base,AoN POD,onlypos,low,1500,0.5828
base,AoN POD,onlypos,low,2000,0.7192
base,AoN POD,onlypos,low,2500,0.8186
base,AoN POD,onlypos,low,3000,0.8892
base,AoN POD,onlypos,low,3500,0.935
base,AoN POD,onlypos,low,4000,0.9602
base,AoN POD,onlypos,low,4500,0.975
base,AoN POD,onlypos,low,5000,0.98740000000000006
base,AoN POD,onlypos,medium,50,0.002
base,AoN POD,onlypos,medium,75,0.0076
base,AoN POD,onlypos,medium,100,0.0162
base,AoN POD,onlypos,medium,125,0.038
base,AoN POD,onlypos,medium,150,0.046
base,AoN POD,onlypos,medium,175,0.0634
base,AoN POD,onlypos,medium,200,0.078
base,AoN POD,onlypos,medium,250,0.1094
base,AoN POD,onlypos,medium,325,0.163
base,AoN POD,onlypos,medium,400,0.2006
base,AoN POD,onlypos,medium,500,0.2642
base,AoN POD,onlypos,medium,750,0.4258
base,AoN POD,onlypos,medium,1000,0.5522
base,AoN POD,onlypos,medium,1500,0.7364
base,AoN POD,onlypos,medium,2000,0.8682
base,AoN POD,onlypos,medium,2500,0.933
base,AoN POD,onlypos,medium,3000,0.9692
base,AoN POD,onlypos,medium,3500,0.9872
base,AoN POD,onlypos,medium,4000,0.9938
base,AoN POD,onlypos,medium,4500,0.9968
base,AoN POD,onlypos,medium,5000,0.999
base,AoN POD,onlypos,high,50,0.0926
base,AoN POD,onlypos,high,75,0.1602
base,AoN POD,onlypos,high,100,0.2146
base,AoN POD,onlypos,high,125,0.2734
base,AoN POD,onlypos,high,150,0.3358
base,AoN POD,onlypos,high,175,0.4134
base,AoN POD,onlypos,high,200,0.4694
base,AoN POD,onlypos,high,250,0.5662
base,AoN POD,onlypos,high,325,0.7094
base,AoN POD,onlypos,high,400,0.7996
base,AoN POD,onlypos,high,500,0.8908
base,AoN POD,onlypos,high,750,0.9818
base,AoN POD,onlypos,high,1000,0.997
base,AoN POD,onlypos,high,1500,1
base,AoN POD,onlypos,high,2000,1
base,AoN POD,onlypos,high,2500,1
base,AoN POD,onlypos,high,3000,1
base,AoN POD,onlypos,high,3500,1
base,AoN POD,onlypos,high,4000,1
base,AoN POD,onlypos,high,4500,1
base,AoN POD,onlypos,high,5000,1
base,AoN POD,all,low,50,2e-4
base,AoN POD,all,low,75,2e-4
base,AoN POD,all,low,100,8e-4
base,AoN POD,all,low,125,6e-4
base,AoN POD,all,low,150,0.0048
base,AoN POD,all,low,175,0.0066
base,AoN POD,all,low,200,0.0108
base,AoN POD,all,low,250,0.0252
base,AoN POD,all,low,325,0.034
base,AoN POD,all,low,400,0.0558
base,AoN POD,all,low,500,0.0884
base,AoN POD,all,low,750,0.1568
base,AoN POD,all,low,1000,0.2102
base,AoN POD,all,low,1500,0.3536
base,AoN POD,all,low,2000,0.4704
base,AoN POD,all,low,2500,0.5664
base,AoN POD,all,low,3000,0.6538
base,AoN POD,all,low,3500,0.7292
base,AoN POD,all,low,4000,0.8
base,AoN POD,all,low,4500,0.841
base,AoN POD,all,low,5000,0.879
base,AoN POD,all,medium,50,6e-4
base,AoN POD,all,medium,75,0.0038
base,AoN POD,all,medium,100,0.0122
base,AoN POD,all,medium,125,0.0228
base,AoN POD,all,medium,150,0.033
base,AoN POD,all,medium,175,0.051
base,AoN POD,all,medium,200,0.066
base,AoN POD,all,medium,250,0.0792
base,AoN POD,all,medium,325,0.135
base,AoN POD,all,medium,400,0.1626
base,AoN POD,all,medium,500,0.2236
base,AoN POD,all,medium,750,0.3448
base,AoN POD,all,medium,1000,0.4616
base,AoN POD,all,medium,1500,0.6608
base,AoN POD,all,medium,2000,0.7914
base,AoN POD,all,medium,2500,0.8856
base,AoN POD,all,medium,3000,0.9306
base,AoN POD,all,medium,3500,0.9664
base,AoN POD,all,medium,4000,0.981
base,AoN POD,all,medium,4500,0.9906
base,AoN POD,all,medium,5000,0.9958
base,AoN POD,all,high,50,0.0994
base,AoN POD,all,high,75,0.165
base,AoN POD,all,high,100,0.259
base,AoN POD,all,high,125,0.3282
base,AoN POD,all,high,150,0.3934
base,AoN POD,all,high,175,0.4642
base,AoN POD,all,high,200,0.5156
base,AoN POD,all,high,250,0.6306
base,AoN POD,all,high,325,0.7642
base,AoN POD,all,high,400,0.863
base,AoN POD,all,high,500,0.931
base,AoN POD,all,high,750,0.9886
base,AoN POD,all,high,1000,0.9992
base,AoN POD,all,high,1500,1
base,AoN POD,all,high,2000,1
base,AoN POD,all,high,2500,1
base,AoN POD,all,high,3000,1
base,AoN POD,all,high,3500,1
base,AoN POD,all,high,4000,1
base,AoN POD,all,high,4500,1
base,AoN POD,all,high,5000,1
base,AoN POD,onlyneg,low,50,0
base,AoN POD,onlyneg,low,75,0
base,AoN POD,onlyneg,low,100,0
base,AoN POD,onlyneg,low,125,0
base,AoN POD,onlyneg,low,150,2e-4
base,AoN POD,onlyneg,low,175,4e-4
base,AoN POD,onlyneg,low,200,0.0016
base,AoN POD,onlyneg,low,250,0.0038
base,AoN POD,onlyneg,low,325,0.007
base,AoN POD,onlyneg,low,400,0.0132
base,AoN POD,onlyneg,low,500,0.0262
base,AoN POD,onlyneg,low,750,0.0584
base,AoN POD,onlyneg,low,1000,0.0958
base,AoN POD,onlyneg,low,1500,0.164
base,AoN POD,onlyneg,low,2000,0.2278
base,AoN POD,onlyneg,low,2500,0.2954
base,AoN POD,onlyneg,low,3000,0.3568
base,AoN POD,onlyneg,low,3500,0.4296
base,AoN POD,onlyneg,low,4000,0.481
base,AoN POD,onlyneg,low,4500,0.5428
base,AoN POD,onlyneg,low,5000,0.5886
base,AoN POD,onlyneg,medium,50,0
base,AoN POD,onlyneg,medium,75,8e-4
base,AoN POD,onlyneg,medium,100,0.004
base,AoN POD,onlyneg,medium,125,0.0064
