archetype,cohort,setting,n_90
AoN POD,all,high,454
AoN POD,all,low,NA
AoN POD,all,medium,2660
AoN POD,onlyneg,high,364
AoN POD,onlyneg,low,NA
AoN POD,onlyneg,medium,3558
AoN POD,onlypos,high,525
AoN POD,onlypos,low,3118
AoN POD,onlypos,medium,2245
AoN POD/POI,all,high,243
AoN POD/POI,all,low,3708
AoN POD/POI,all,medium,1742
AoN POD/POI,onlyneg,high,138
AoN POD/POI,onlyneg,low,3788
AoN POD/POI,onlyneg,medium,1365
AoN POD/POI,onlypos,high,345
AoN POD/POI,onlypos,low,2908
AoN POD/POI,onlypos,medium,1938
Leaky POD,all,high,583
Leaky POD,all,low,NA
Leaky POD,all,medium,2974
Leaky POD,onlyneg,high,445
Leaky POD,onlyneg,low,NA
Leaky POD,onlyneg,medium,4127
Leaky POD,onlypos,high,661
Leaky POD,onlypos,low,3262
Leaky POD,onlypos,medium,2402
Leaky POD/POI,all,high,310
Leaky POD/POI,all,low,3823
Leaky POD/POI,all,medium,1849
Leaky POD/POI,onlyneg,high,202
Leaky POD/POI,onlyneg,low,4034
Leaky POD/POI,onlyneg,medium,1445
Leaky POD/POI,onlypos,high,397
Leaky POD/POI,onlypos,low,3028
Leaky POD/POI,onlypos,medium,2048
Leaky POI,all,high,2173
Leaky POI,all,low,NA
Leaky POI,all,medium,NA
Leaky POI,onlyneg,high,859
Leaky POI,onlyneg,low,NA
Leaky POI,onlyneg,medium,3829
Leaky POI,onlypos,high,4176
Leaky POI,onlypos,low,NA
Leaky POI,onlypos,medium,NA
